b,mu,T
0.10095429,2321.52019,25
0.10428377,2324.38691,25
0.10761351000000001,2328.402,25
0.11094331,2332.63705,25
0.11427309,2336.80925,25
0.11760292,2341.20141,25
0.12093279,2345.7821,25
0.12426264999999999,2350.29995,25
0.12759251,2354.84923,25
0.13092246,2359.77557,25
0.13425237,2364.51338,25
0.13758237,2369.62825,25
0.14091235,2374.68029,25
0.14424235,2379.79516,25
0.14757238,2385.09857,25
0.15090249,2390.68479,25
0.15423253,2396.01962,25
0.15756262000000001,2401.54299,25
0.16089278999999998,2407.41201,25
0.16422293,2413.15533,25
0.16755309,2418.99293,25
0.1708833,2425.05048,25
0.17421354,2431.23372,25
0.1775438,2437.47981,25
0.18087409,2443.883,25
0.1842044,2450.38047,25
0.18753467000000001,2456.65798,25
0.19086491,2462.87264,25
0.1941952,2469.24442,25
0.19752573,2476.69979,25
0.20072963,2481.78351,25
0.20474982,2490.20297,25
0.20842427,2495.04384,25
0.21175446,2501.03855,25
0.21508459,2506.71903,25
0.21841448,2511.36781,25
0.22181692,2518.20076,25
0.22507501,2523.94901,25
0.22840513,2529.59807,25
0.23173522,2535.12144,25
0.23506531,2540.6448,25
0.23839534,2545.94822,25
0.2417254,2551.31447,25
0.24505544,2556.64931,25
0.24838566,2562.73828,25
0.2519119,2569.71407,25
0.25504531,2571.49118,25
0.25837513,2575.82049,25
0.2617049,2579.96127,25
0.26503452,2583.44218,25
0.26836413,2586.89167,25
0.27169362,2589.80697,25
0.27502309,2592.62801,25
0.27835246999999996,2595.04055,25
0.28168177,2597.13887,25
0.28501103,2599.04866,25
0.28834019,2600.54995,25
0.29166927,2601.67417,25
0.29499833000000003,2602.70413,25
0.29832738999999997,2603.76551,25
0.30131169,2603.69451,25
0.30451592,2603.54827,25
0.30770868,2604.06004,25
0.31103742999999995,2603.71979,25
0.31425147,2603.98632,25
0.31769491,2603.03642,25
0.32095149,2602.21955,25
0.32404933,2600.41787,25
0.32761318,2598.91101,25
0.33077818000000003,2596.74487,25
0.33382481,2593.99567,25
0.33796731,2589.33462,25
0.34122343,2586.5222,25
0.34439283,2582.5653,25
0.34751278,2579.79357,25
0.35050768,2575.28406,25
0.35389004999999996,2569.19828,25
0.35689091,2566.3504,25
0.35988557,2560.77919,25
0.36294114,2556.90153,25
0.36593576,2551.12912,25
0.36886045,2547.06653,25
0.37132387,2541.95842,25
0.37398591,2536.67398,25
0.37640991,2532.22498,25
0.37882686,2526.96265,25
0.38106018,2520.84257,25
0.38361634,2515.82229,25
0.38573084999999996,2510.81086,25
0.38782754999999997,2505.33995,25
0.39006092000000003,2499.43963,25
0.39227248,2494.05922,25
0.39450157,2487.93177,25
0.39714431,2480.33801,25
0.39962992,2472.32448,25
0.10206142,2375.44163,100
0.10520429,2379.50002,100
0.10853413,2383.95502,100
0.11186404,2388.66141,100
0.11519396999999999,2393.49348,100
0.11789477,2395.6608,100
0.11986651999999999,2398.83903,100
0.12178131,2402.47848,100
0.12449357000000001,2406.11625,100
0.12672718,2409.02634,100
0.12963803999999998,2416.37836,100
0.13268535,2422.54003,100
0.13577978,2426.82096,100
0.13910998,2432.81567,100
0.14244021,2438.93607,100
0.14525101,2442.24299,100
0.14763015,2448.33189,100
0.14890678,2451.24399,100
0.15066224,2455.61246,100
0.15241736,2458.52355,100
0.15433215,2462.163,100
0.15630026,2468.46157,100
0.15939466,2472.58539,100
0.16241018,2480.50196,100
0.16558705,2489.19552,100
0.16878081,2494.05867,100
0.17191963999999998,2498.99534,100
0.17475829999999998,2508.75648,100
0.17775453,2515.44251,100
0.18018366,2519.67549,100
0.18237089,2527.93502,100
0.18543366,2532.10778,100
0.18876421,2539.64219,100
0.19209479,2547.30228,100
0.19542534,2554.83669,100
0.19821605,2560.44446,100
0.19965251,2564.8136,100
0.20156746,2569.18174,100
0.20332275000000002,2572.82152,100
0.20459955,2576.46231,100
0.20667384000000003,2580.10142,100
0.20868061,2586.37102,100
0.21177510000000002,2590.90682,100
0.21510561,2598.22127,100
0.21843609,2605.47287,100
0.22176645,2612.19029,100
0.2245773,2615.69025,100
0.22646084,2621.5954,100
0.22853512,2625.23451,100
0.23108788000000002,2628.87261,100
0.23300267,2632.51206,100
0.23647552,2638.81016,100
0.23993077,2643.16617,100
0.24326061000000002,2647.58975,100
0.24659039000000002,2651.76195,100
0.24992055999999999,2657.66239,100
0.25268252,2660.05367,100
0.25454128,2661.61458,100
0.25645539,2662.33926,100
0.25852934,2664.52098,100
0.26076261,2665.97368,100
0.26452059,2667.30539,100
0.26777749,2667.86865,100
0.27110660000000003,2669.11856,100
0.27443542000000004,2669.11158,100
0.27776424,2669.10459,100
0.28086993,2668.46135,100
0.28404948,2668.11089,100
0.28596326,2667.37818,100
0.28899335000000004,2665.91444,100
0.29026914,2665.18307,100
0.29363477,2660.87944,100
0.29682682,2658.28667,100
0.30039439,2656.16193,100
0.30360063000000004,2651.69119,100
0.30657992,2646.14909,100
0.3096449,2643.25967,100
0.31179520000000005,2639.63363,100
0.31370831,2635.98615,100
0.31610024,2633.79506,100
0.31817252,2628.68986,100
0.32435596,2617.88242,100
0.32828771,2607.81898,100
0.33039997,2598.20719,100
0.33307285000000003,2590.88274,100
0.33487196,2581.0751,100
0.33729928000000003,2573.26905,100
0.33921188,2567.43549,100
0.34064601,2561.60293,100
0.34255845,2555.04068,100
0.34499504999999997,2547.01444,100
0.34692242,2541.4283,100
0.34859516,2532.91296,100
0.35021253,2525.48874,100
0.35182635,2513.89006,100
0.35400306,2503.53113,100
0.35630816,2490.58572,100
0.35817228999999995,2482.13861,100
0.35928708,2474.84935,100
0.36056137,2467.55974,100
0.36231382,2458.81175,100
0.36457826,2441.83208,100
0.3667475,2423.16257,100
0.36867421,2403.61025,100
0.37056606,2387.38006,100
0.37171825999999997,2374.3361,100
0.37313793,2364.78763,100
0.37393374,2357.49903,100
0.37472870999999996,2346.56697,100
0.37568334,2336.36326,100
0.37672838000000003,2321.29087,100
0.37806452,2306.95523,100
0.37952848,2291.92802,100
0.38081015,2273.8134,100
0.38235998,2256.05479,100
0.38411452,2240.15809,100
0.38475032,2230.68375,100
0.38554595999999997,2222.66645,100
0.38602177,2211.00637,100
0.38674049000000005,2195.51183,100
0.38765616,2182.54813,100
0.38859056,2167.5352,100
0.3895747,2152.42341,100
0.39049245000000005,2137.01549,100
0.39118918,2123.23751,100
0.39190084999999997,2114.07786,100
0.39221783,2105.33288,100
0.39253465,2095.8592,100
0.39285146,2086.38553,100
0.39300912,2078.36957,100
0.39387295,2064.95486,100
